"Genus","logFC","SE","p","q_ANCOM","significant","enriched_in","stat","p.value","q_IndVal","associated_group"
"Unclassified_Prevotellaceae",0.259909465105531,0.303718021525962,0.397495020795019,0.584820260480027,FALSE,"Not significant",0.688795062351847,0.7029,0.931703867403315,"Diffuse"
"Incertae_Sedis.10",0.15885198673276,0.189861656469805,0.410703374857259,0.597386727065105,FALSE,"Not significant",0.37172158240283,0.5402,0.860865584415584,"Diffuse"
"Tepidimonas",-0.141233787379938,0.175638275699727,0.436969796651801,0.628450943499219,FALSE,"Not significant",0.477999178492858,0.4045,0.793442063492063,"Diffuse"
"Prevotella",0.2580499310026,0.338209999370066,0.449636728266638,0.639483346868107,FALSE,"Not significant",0.712756319846023,0.9058,1,"Diffuse"
"Bergeyella",0.139615146606918,0.204855007594347,0.506653518907095,0.669190839550416,FALSE,"Not significant",0.496854784394514,0.4664,0.835296402877698,"Diffuse"
"Haemophilus",-0.242274343801316,0.337505564112675,0.476739199221794,0.669190839550416,FALSE,"Not significant",0.719996014006295,0.8477,1,"Diffuse"
"Aggregatibacter",0.196524828399612,0.285319967963739,0.49608006738562,0.669190839550416,FALSE,"Not significant",0.622819484484207,0.8719,1,"Diffuse"
"Anaerococcus",-0.140451043600223,0.198578725619058,0.499473082728089,0.669190839550416,FALSE,"Not significant",0.462968290793112,0.2459,0.675518390804598,"Diffuse"
"[Eubacterium]_brachy_group",0.129320163209018,0.185014588350109,0.507121183096799,0.669190839550416,FALSE,"Not significant",0.384590680314816,0.536,0.860865584415584,"Diffuse"
"Peptococcus",0.138135404776555,0.196217993821799,0.492224365905505,0.669190839550416,FALSE,"Not significant",0.52263249015275,0.4797,0.835296402877698,"Diffuse"
"Incertae_Sedis.13",-0.125547085788976,0.168928857695228,0.481556543821926,0.669190839550416,FALSE,"Not significant",0.219241905490435,1,1,"Diffuse"
"Bifidobacterium",-0.328160186355056,0.509457369346222,0.528613554635291,0.683459949427447,FALSE,"Not significant",0.76259335730134,0.0167,0.181422727272727,"Diffuse"
"Unclassified_NA.3",-0.161518109110439,0.246532558132465,0.525829011482525,0.683459949427447,FALSE,"Not significant",0.399505194702911,0.6428,0.903701176470588,"Diffuse"
"Lautropia",-0.132833000903049,0.218738337829874,0.550182984370975,0.702914621682277,FALSE,"Not significant",0.560730589706147,0.6526,0.912113450292398,"Diffuse"
"Eikenella",0.128370036521504,0.212064793582859,0.554643568671171,0.702914621682277,FALSE,"Not significant",0.513810760194454,0.3767,0.782880869565217,"Diffuse"
"Incertae_Sedis.3",0.134699864957709,0.232275092121285,0.580149916879718,0.720963003501009,FALSE,"Not significant",0.685286523242108,0.151,0.571761538461538,"Diffuse"
"Filifactor",0.136441754699548,0.24235614988755,0.578271233477782,0.720963003501009,FALSE,"Not significant",0.579693412261023,0.8351,1,"Diffuse"
"Lachnoanaerobaculum",-0.100592733001516,0.193310963998694,0.606083837824543,0.745949338860976,FALSE,"Not significant",0.77191481186263,0.0242,0.212787096774194,"Diffuse"
"Enhydrobacter",0.146284941225221,0.294197550291133,0.624729272157061,0.7554189132871,FALSE,"Not significant",0.539134129468526,0.6382,0.902543195266272,"Diffuse"
"Actinomyces",0.124519381099807,0.251438440702406,0.62558128756588,0.7554189132871,FALSE,"Not significant",0.594918145827148,0.3377,0.738292727272727,"Diffuse"
"Lancefieldella",0.11583643665907,0.243121099285945,0.636342219714399,0.761231814237786,FALSE,"Not significant",0.701135282305788,0.7851,0.996292146596859,"Diffuse"
"Castellaniella",-0.0874879779625912,0.198085859403788,0.665475565982699,0.781475893998032,FALSE,"Not significant",0.569467741915392,0.1399,0.571761538461538,"Diffuse"
"Selenomonas",-0.111283577084292,0.249141447737714,0.659686875920286,0.781475893998032,FALSE,"Not significant",0.755339659432764,0.0103,0.144805882352941,"Diffuse"
"Pseudoalteromonas",-0.0878649701749291,0.222937147832431,0.700403315945689,0.815014767645893,FALSE,"Not significant",0.574732793469134,0.1008,0.5019,"Diffuse"
