"Genus","indicator_for","stat","p.value","q"
"Unclassified_Micrococcaceae","Intestinal",0.0338666550014675,0.8687,1
"Brevibacterium","Diffuse",0.0395999015430845,0.8934,1
"Marmoricola","Diffuse",0.0651909903323637,0.8441,1
"Blastococcus","Diffuse",0.124360829937165,0.773,1
"Incertae_Sedis.39","Intestinal",0.106716729982127,0.6728,1
"Gemmatimonas","Intestinal",0.0463062719914344,0.827,1
"Lautropia","Diffuse",0.0846127767163458,0.6774,1
"Ralstonia","Diffuse",0.0807804602628552,0.6602,1
"Cupriavidus","Intestinal",0.114750399026778,0.6254,1
"Parasutterella","Diffuse",0.0414052273565892,0.8357,1
"Alysiella","Diffuse",0.0410141070484198,0.8475,1
"Eikenella","Intestinal",0.0686879769512413,0.693,1
"Neisseria","Diffuse",0.0335257660631123,0.8457,1
"Herbaspirillum","Intestinal",0.10227958365844,0.6224,1
"Caldimonas","Diffuse",0.0958367391431266,0.8275,1
"Unclassified_Rhodocyclaceae","Diffuse",0.0260829320169944,0.8872,1
"Unclassified_NA.4","Intestinal",0.0349711902095527,0.85,1
"Hydrogenophilus","Diffuse",0.140344840006319,0.57,1
"Comamonas","Intestinal",0.0272971228669024,0.8624,1
"Burkholderia-Caballeronia-Paraburkholderia","Intestinal",0.0278328325893775,0.909,1
"Unclassified_Gallionellaceae","Intestinal",0.0305810393689261,0.8448,1
"Ellin6067","Intestinal",0.0127471854413718,0.9481,1
"Jeotgalicoccus","Diffuse",0.0132780110455915,0.9022,1
"Unclassified_Planococcaceae","Intestinal",0.140730230247325,0.6184,1
"Geobacillus","Intestinal",0.0464726501840626,0.7806,1
"Lactiplantibacillus","Diffuse",0.12913703451843,0.7185,1
"Pediococcus","Diffuse",0.114404224635055,0.9237,1
"Lactococcus","Intestinal",0.0442795756723351,0.7893,1
"Thomasclavelia","Intestinal",0.109152322411615,0.6907,1
"Solobacterium","Intestinal",0.027404534064487,0.8768,1
"Anaeroglobus","Intestinal",0.0778285697300528,0.797,1
"Centipeda","Diffuse",0.0435803692411551,0.8025,1
"Peptostreptococcus","Intestinal",0.09541805441924,0.5668,1
"Filifactor","Diffuse",0.0655892537427504,0.7545,1
"[Eubacterium]_brachy_group","Intestinal",0.0515091282026215,0.7612,1
"[Eubacterium]_sulci_group","Intestinal",0.0287003946959682,0.8842,1
"Aminicella","Diffuse",0.077862397492534,0.9082,1
"Clostridium","Intestinal",0.0490986132926185,0.8275,1
"Peptococcus","Diffuse",0.103992716230718,0.6442,1
"Catonella","Intestinal",0.0643564872628612,0.7136,1
"Lachnospiraceae_NK4A136_group","Intestinal",0.0038328432089741,0.9758,1
"Johnsonella","Intestinal",0.0738112815577506,0.7401,1
"Agathobacter","Diffuse",0.035333270085072,0.9305,1
"Roseburia","Diffuse",0.0254705809629736,0.9526,1
"[Ruminococcus]_gnavus_group","Intestinal",0.05114098913557,0.8437,1
"UCG-002","Diffuse",0.0629564637581927,0.9295,1
"Unclassified_NA.6","Intestinal",0.0367787726522398,1,1
"Unclassified_Ruminococcaceae","Diffuse",0.0956843611838386,0.6265,1
"Incertae_Sedis.47","Diffuse",0.0579871595093407,0.7781,1
"Faecalibacterium","Intestinal",0.0398928883771314,0.8218,1
"Gemmiger","Diffuse",0.0469110700258314,0.8996,1
"[Eubacterium]_siraeum_group","Diffuse",0.0693269269544802,0.8775,1
"Lancefieldella","Diffuse",0.059861939325694,0.7261,1
"Incertae_Sedis.49","Intestinal",0.0910535365073883,0.612,1
"Incertae_Sedis.50","Diffuse",0.00658794769956797,0.9643,1
"Incertae_Sedis.56","Diffuse",0.0234193819396789,0.9145,1
"Unclassified_Paracoccaceae","Diffuse",0.0114519806187243,0.9458,1
"HIMB11","Intestinal",0.0419191522400841,0.8511,1
"Marivivens","Diffuse",0.0696820693374437,0.9309,1
"Paracoccus","Diffuse",0.0406117352843247,0.817,1
"Incertae_Sedis.57","Diffuse",0.127341572379046,0.6199,1
"Clade_Ia","Diffuse",0.106035208727689,0.8721,1
"Incertae_Sedis.59","Diffuse",0.0718911917598167,0.9311,1
"Bradyrhizobium","Diffuse",0.085939928969952,0.6396,1
"Incertae_Sedis.60","Intestinal",2.94337696730402e-05,1,1
"Aureimonas","Diffuse",0.0498724662974819,1,1
"Unclassified_Sphingomonadaceae","Diffuse",0.0600656586884779,0.7587,1
"Unclassified_NA.7","Intestinal",0.0874247535548655,0.6184,1
"Unclassified_Acetobacteraceae","Diffuse",0.0268296227392248,1,1
"Roseomonas","Intestinal",0.0110049319593617,1,1
"Incertae_Sedis.64","Intestinal",0.0809324411988432,0.6972,1
"Incertae_Sedis.65","Intestinal",0.15888370006452,0.6157,1
"Incertae_Sedis.66","Intestinal",0.0649056627943723,0.7763,1
"Unclassified_Caulobacteraceae","Diffuse",0.0539680605515056,0.9262,1
"Incertae_Sedis.67","Intestinal",0.086523991275055,0.5922,1
"Pseudolabrys","Intestinal",0.0979955192439909,0.7496,1
"Incertae_Sedis.68","Diffuse",0.0766436493885143,0.9243,1
"Sulfurimonas","Intestinal",0.0516610620120198,0.8896,1
"Incertae_Sedis.70","Intestinal",0.0894754520867235,0.7432,1
"Incertae_Sedis.72","Diffuse",0.0210687238510424,0.9414,1
"Reyranella","Intestinal",0.0617708220970513,0.7937,1
"Sva0081_sediment_group","Intestinal",0.065957122281498,0.8513,1
"Syntrophus","Intestinal",0.0162710531545616,0.7028,1
"Incertae_Sedis.75","Intestinal",0.0570492732370559,0.8479,1
"Incertae_Sedis.76","Diffuse",0.0177010901048236,1,1
"Incertae_Sedis.77","Diffuse",0.106966022468265,0.7216,1
"Incertae_Sedis.78","Intestinal",0.00320672527315502,1,1
"Incertae_Sedis.80","Intestinal",0.0518473657307294,0.8512,1
"Nitrospira","Intestinal",0.0473065066221782,0.749,1
"Pirellula","Intestinal",0.0888919196955693,0.696,1
"Incertae_Sedis.84","Intestinal",0.0385591487694815,0.9144,1
"Incertae_Sedis.85","Diffuse",0.0871719391606813,0.6654,1
"Lysobacter","Diffuse",0.0746980311579895,0.9274,1
"Luteimonas","Diffuse",0.0865229848830525,0.6264,1
"Blastocatella","Diffuse",0.138556501947798,0.5569,1
"Incertae_Sedis.86","Diffuse",0.0142747877025448,1,1
"Incertae_Sedis.88","Intestinal",0.00738249873061154,0.971,1
"Incertae_Sedis.89","Diffuse",0.14489886093402,0.6199,1
"Candidatus_Nitrosotalea","Diffuse",0.0569729849385577,0.926,1
"Pseudostreptobacillus","Diffuse",0.140916061213912,0.6232,1
